DEX,Pair,Window,Shards,Total TX,Avg TX/Slot,Fail %,P95 Peak,P99 Peak,P99.9 Peak
Meteora DLMM,FSTR..1112,157868,5,305512,152.756,0.0,221,260,305
Meteora DLMM,Cq16..1112,157816,6,96477,48.2385,56.342962571390075,45,61,104
Meteora DLMM,9DHe..1112,157797,8,90589,45.2945,7.84201172327766,34,51,87
Meteora DLMM,Dfh5..1112,157803,5,81979,40.9895,2.133473206552898,48,64,79
Meteora DLMM,6p6x..1112,157808,5,78432,39.216,0.5992452060383517,43,55,83
Meteora DLMM,98mb..1112,157809,4,72360,36.18,21.887783305693752,39,49,65
Meteora DLMM,7MxB..1112,157727,6,66062,33.031,2.2660531016318,52,96,102
Meteora DLMM,FsTc..1112,157782,7,62919,31.4595,2.4523593826983903,32,51,72
Meteora DLMM,Gv8m..1112,157804,2,59952,29.976,1.3160528422738191,47,59,72
Raydium CPMM,6p6x..1112,157819,5,58344,29.172,0.8861236802413273,50,71,88
Meteora DLMM,HZ2w..1112,157768,4,56511,28.2555,2.873776786820265,84,106,138
Meteora DLMM,27T4..1112,157715,6,55256,27.628,2.64948602866657,45,63,71
Meteora DLMM,ECY3..1112,157683,6,54538,27.269,1.1643257911914628,57,90,105
Meteora DLMM,M5MF..1112,157699,7,54282,27.141,9.808039497439298,31,46,68
Meteora DLMM,5xnr..1112,157848,5,53059,26.5295,6.688780414255828,46,67,93
Meteora DLMM,275F..1112,157825,7,52795,26.3975,3.2484136755374564,59,87,99
Meteora DLMM,EmBB..1112,157676,5,51163,25.5815,6.6981998710005275,40,65,93
Meteora DLMM,BhBn..1112,157781,5,50561,25.2805,2.0964775222009058,69,97,110
Meteora DLMM,FUAf..1112,157540,3,45973,22.9865,38.505209579535816,78,115,162
Meteora DLMM,5sMF..1112,157745,4,43186,21.593,4.089288195248461,77,82,86
