seed,user_pnl,arb_profit,lp_profit_value,total_volume,lp_profit_per_1m_vol,arb_trade_count,intervention_rate,avg_spread_pct,max_spread_pct,rmse_price,impermanent_loss_pct,total_compute_units,avg_cu_per_swap,total_swaps,successful_swaps
100,-345505.1986,119744.1005,282515.8355,33335305.5980,8474.9736,1994,0.062610,3.524476,10.029865,0.024140,-4.312949,1895910577,59529.97,31848,31848
1000,-333031.2281,-2055.6613,257419.4505,32602967.9463,7895.5833,1996,0.062512,3.454138,9.895348,0.023538,-4.161226,1901477298,59551.43,31930,31930
1001,-322697.3042,-10246.5489,249007.7845,31970142.1267,7788.7606,1996,0.062418,3.402828,8.903772,0.023143,-4.040671,1902078557,59480.85,31978,31978
1002,-362529.4759,-89778.8982,264921.2943,34220763.0860,7741.5367,1997,0.062639,3.604607,11.398755,0.024697,-4.474828,1897288334,59511.57,31881,31881
1003,-353560.7779,-165195.6250,248334.9158,33389715.3863,7437.4673,1998,0.062428,3.572115,11.080397,0.024363,-4.363173,1901620991,59416.37,32005,32005
1004,-410954.5109,99319.6732,321894.7452,36960571.7082,8709.1387,1998,0.062313,3.877726,12.394970,0.026681,-5.011570,1909520325,59553.40,32064,32064
1005,-364486.0803,25032.2807,283480.1224,34435236.3827,8232.2688,1996,0.062746,3.636451,11.762951,0.024836,-4.529955,1893463621,59522.29,31811,31811
1006,-414492.2340,16188.0810,312468.2882,37182176.3033,8403.7117,1999,0.062108,3.878811,13.164005,0.026654,-5.036762,1917188632,59565.92,32186,32186
1007,-387563.7448,97951.5652,306789.2733,36127995.3391,8491.7325,1998,0.062135,3.738760,10.950906,0.025666,-4.763026,1917547793,59632.66,32156,32156
1008,-345885.8509,207856.0256,295041.7921,33451876.1197,8819.8877,1999,0.062610,3.522917,10.699405,0.024230,-4.329147,1901959943,59570.28,31928,31928
1009,-354195.0971,-224607.7281,241497.8053,33499698.2336,7208.9546,1998,0.062369,3.578032,11.162228,0.024295,-4.375414,1906844768,59523.79,32035,32035
101,-347599.4773,194051.6116,294465.4078,33809831.8442,8709.4609,1999,0.062639,3.556174,10.007897,0.024254,-4.348843,1900454211,59551.10,31913,31913
1010,-375273.2442,200341.0268,311001.1963,34911575.1431,8908.2545,1998,0.062399,3.712201,10.611901,0.025396,-4.615437,1909346219,59629.80,32020,32020
1011,-372355.0857,-91614.7058,273822.4644,35241513.4607,7769.8838,1997,0.062076,3.627732,11.469748,0.024986,-4.619022,1915946063,59556.92,32170,32170
1012,-417591.4867,103130.9334,327328.5698,37823300.8400,8654.1513,1997,0.062673,3.929461,10.992896,0.026819,-5.091684,1900163305,59633.55,31864,31864
1013,-375863.3436,61967.6878,294090.1844,34863050.0761,8435.5839,1999,0.062104,3.673294,12.325749,0.025299,-4.631075,1916875930,59552.50,32188,32188
1014,-366865.5918,47819.3989,284997.3363,34254737.5479,8319.9393,1999,0.062627,3.630900,11.347356,0.024990,-4.514070,1898928035,59492.09,31919,31919
1015,-397008.3453,225726.4566,331175.9418,36754021.8964,9010.6041,1999,0.062547,3.802486,12.657445,0.026084,-4.887336,1905493831,59621.21,31960,31960
1016,-346763.1132,126329.0180,284017.8888,33538659.8484,8468.3732,1993,0.061802,3.532525,10.703549,0.024128,-4.324132,1922533378,59617.14,32248,32248
1017,-408156.2600,241740.0697,337948.1184,36722101.5592,9202.8534,1999,0.062967,3.881622,11.732335,0.026658,-4.971950,1890613475,59552.51,31747,31747
1018,-332771.3719,110947.1471,273388.9468,32230743.8962,8482.2413,1998,0.062350,3.480689,10.911440,0.023711,-4.179712,1903842134,59411.52,32045,32045
1019,-382664.6931,-51691.1455,283738.8149,35789416.1653,7928.0090,1999,0.062641,3.742747,10.118012,0.025484,-4.703463,1900043538,59540.10,31912,31912
102,-321749.4840,150915.9928,271405.8782,31835867.6439,8525.1604,1997,0.062496,3.394833,10.894800,0.023228,-4.061322,1897746070,59389.94,31954,31954
1020,-348019.2161,106053.9964,285851.3727,34355186.4290,8320.4722,1997,0.062785,3.505882,10.835778,0.024087,-4.388169,1893831237,59541.33,31807,31807
1021,-336885.4400,-24484.1479,258999.5668,33053879.5833,7835.6783,1996,0.062529,3.474939,9.420283,0.023601,-4.229847,1898158777,59464.26,31921,31921
1022,-361836.2699,-19195.8909,275470.8278,34711831.7931,7935.9346,1997,0.062522,3.618056,9.648320,0.024628,-4.493390,1900922790,59513.57,31941,31941
1023,-328923.2954,145477.2485,274872.9421,32127545.9691,8555.6781,1996,0.062272,3.436632,10.862279,0.023484,-4.131775,1903775094,59394.60,32053,32053
1024,-379814.7603,60132.6129,298036.7405,35805898.6642,8323.6771,1998,0.062657,3.676293,13.491883,0.025273,-4.695847,1897987165,59520.42,31888,31888
1025,-387232.7095,86272.1339,306181.1875,36228135.7760,8451.4751,1996,0.062098,3.719828,11.522790,0.025677,-4.774899,1914326605,59556.56,32143,32143
1026,-352080.7011,31850.5035,276149.0722,33777771.7107,8175.4674,1996,0.062618,3.573662,10.583337,0.024310,-4.393731,1897438396,59525.61,31876,31876
1027,-372777.4739,131473.5002,301382.8890,35230700.9111,8554.5527,1998,0.062785,3.655683,10.263025,0.025134,-4.601437,1896998482,59610.93,31823,31823
1028,-399837.3907,150430.5132,321134.9936,36802276.6056,8725.9546,1998,0.062549,3.792309,12.630745,0.026156,-4.889072,1904790609,59630.92,31943,31943
1029,-389736.3935,-130913.8960,276168.7125,35714002.1457,7732.7853,1995,0.062563,3.745381,11.293490,0.025733,-4.753082,1899877618,59579.70,31888,31888
103,-364157.4807,260214.5809,313474.4829,34717480.6839,9029.2981,1999,0.062549,3.629610,10.324176,0.024878,-4.522215,1904931954,59605.49,31959,31959
1030,-382265.5024,36807.6617,297471.3801,36134054.4459,8232.4385,1999,0.062104,3.689847,9.648891,0.025395,-4.734183,1917666452,59577.06,32188,32188
1031,-354580.4468,190779.4238,298638.2736,34338082.0426,8696.9992,1995,0.062342,3.539744,10.653471,0.024384,-4.424590,1905684165,59550.77,32001,32001
1032,-355140.4155,-7011.6678,270921.1569,33985415.5450,7971.6888,1994,0.062291,3.566929,11.356950,0.024414,-4.396539,1906133016,59546.19,32011,32011
1033,-369721.6110,35659.8424,287675.7005,34691717.6414,8292.3453,1998,0.062395,3.680388,13.388480,0.025034,-4.578002,1905229380,59497.51,32022,32022
1034,-318580.1685,148986.9144,268646.4912,31516066.0233,8524.1125,1997,0.062559,3.401961,11.124446,0.023155,-4.020936,1896336035,59405.30,31922,31922
