scenario,user_count,total_runs,user_pnl_mean,user_pnl_stddev,user_pnl_p95,arb_profit_mean,arb_profit_stddev,arb_profit_p95,lp_profit_value_mean,lp_profit_value_stddev,lp_profit_value_p95,total_volume_mean,total_volume_stddev,total_volume_p95,lp_profit_per_1m_vol_mean,lp_profit_per_1m_vol_stddev,lp_profit_per_1m_vol_p95,arb_trade_count_mean,arb_trade_count_stddev,arb_trade_count_p95,intervention_rate_mean,intervention_rate_stddev,intervention_rate_p95,avg_spread_pct_mean,avg_spread_pct_stddev,avg_spread_pct_p95,max_spread_pct_mean,max_spread_pct_stddev,max_spread_pct_p95,rmse_price_mean,rmse_price_stddev,rmse_price_p95,impermanent_loss_pct_mean,impermanent_loss_pct_stddev,impermanent_loss_pct_p95,total_compute_units_mean,total_compute_units_stddev,total_compute_units_p95,avg_cu_per_swap_mean,avg_cu_per_swap_stddev,avg_cu_per_swap_p95
single_n32,32,1000,-372740.95,27253.02,-326767.81,165941.25,106655.37,342794.88,202014.62,16891.31,229660.88,34850796.24,1669603.57,37556333.48,5795.94,389.98,6420.12,1998.86,0.38,1999.00,0.0625,0.0003,0.0629,3.5363,0.1476,3.7749,11.4937,1.3634,13.9860,0.0246,0.0010,0.0263,-3.1649,0.1593,-2.8990,1013942396,4120943,1020856434,31687.55,1.09,31689.22
single_no_arb_n32,32,1000,-184617.43,11630.38,-165964.12,0.00,0.00,0.00,184617.43,11630.38,204294.45,44288490.31,2561840.23,48483519.59,4168.34,95.42,4350.09,0.00,0.00,0.00,0.0000,0.0000,0.0000,38.0841,3.0926,43.2277,83.1658,11.0166,102.7866,0.2265,0.0169,0.2549,-2.8846,0.1817,-2.5932,981921039,3990387,988628014,30686.83,1.14,30688.53
dual_n32,32,1000,-371597.43,27103.97,-325701.34,73541.41,105554.21,243066.28,293270.86,23277.22,331593.44,34897500.99,1675635.59,37606181.41,8397.43,420.49,9084.14,1997.56,1.23,1999.00,0.0624,0.0003,0.0629,3.6657,0.1497,3.9099,11.5031,1.3825,13.9593,0.0251,0.0010,0.0268,-4.5909,0.2963,-4.0958,1905000365,8013342,1918471100,59534.74,60.59,59629.34
dual_no_arb_n32,32,1000,-350259.65,25545.01,-306755.18,0.00,0.00,0.00,350259.65,25545.01,391794.40,36315522.56,1818192.31,39223413.93,9635.41,281.27,10108.26,0.00,0.00,0.00,0.0000,0.0000,0.0000,7.9043,0.3925,8.5748,22.9797,3.1194,28.5260,0.0716,0.0145,0.0990,-5.4728,0.3991,-4.7930,1841722762,8222479,1855703290,57557.19,97.00,57705.50
single_n128,128,1000,-1466365.90,55292.07,-1371547.27,745691.61,110602.11,924574.23,715680.48,22536.48,751625.37,140980027.44,3588589.72,146880596.03,5076.63,102.71,5242.69,1999.00,0.03,1999.00,0.0156,0.0000,0.0157,6.7444,0.1502,6.9951,21.1355,1.9890,24.8282,0.0468,0.0010,0.0485,-11.1917,0.2849,-10.7011,3927928499,7792003,3940656732,30683.55,0.60,30684.48
single_no_arb_n128,128,1000,-726093.39,22128.16,-687821.07,0.00,0.00,0.00,726093.39,22128.16,763261.07,181059147.79,5472460.03,190072494.64,4010.31,26.07,4060.07,0.00,0.00,0.00,0.0000,0.0000,0.0000,37.7261,1.6166,40.2823,92.6541,10.3408,111.2173,0.2830,0.0274,0.3285,-11.3452,0.3458,-10.7472,3928356841,7793718,3941123342,30686.90,0.61,30687.85
dual_n128,128,1000,-1450328.70,53969.53,-1358033.67,331701.51,106116.50,501294.83,1113633.59,39066.39,1179224.93,141644293.49,3644903.17,147633910.02,7861.00,128.39,8065.62,1998.94,0.25,1999.00,0.0156,0.0000,0.0157,6.5619,0.1386,6.7902,20.9504,1.9833,24.7436,0.0457,0.0010,0.0472,-17.4102,0.5778,-16.4322,7683441265,15949817,7709687142,60020.26,33.53,60074.08
dual_no_arb_n128,128,1000,-1345065.98,48789.57,-1265306.11,0.00,0.00,0.00,1345065.98,48789.57,1423312.73,149856392.86,4128316.52,156573962.46,8974.09,126.98,9190.35,0.00,0.00,0.00,0.0000,0.0000,0.0000,10.7576,0.2703,11.2176,34.1715,3.9648,41.0289,0.1536,0.0324,0.2095,-21.0167,0.7623,-19.7704,7510218049,17331888,7539415840,58667.10,65.23,58770.28
single_n512,512,1000,-5493088.47,102607.90,-5324237.61,2830416.73,126022.49,3036376.21,2656863.54,38542.26,2719951.50,582377289.49,7802569.23,595396765.37,4562.13,30.80,4614.14,1999.00,0.00,1999.00,0.0039,0.0000,0.0039,12.1103,0.1402,12.3392,40.5826,3.8390,48.0056,0.0829,0.0009,0.0845,-41.5252,0.5484,-40.6213,15978671687,256975380,16244764474,31206.21,501.68,31688.57
single_no_arb_n512,512,1000,-2902129.44,43937.24,-2829639.81,0.00,0.00,0.00,2902129.44,43937.24,2976546.69,739493156.46,11294753.15,757653480.47,3924.52,14.03,3947.88,0.00,0.00,0.00,0.0000,0.0000,0.0000,34.8261,0.7711,36.1233,95.5400,10.0031,113.5818,0.4217,0.0467,0.5020,-45.3458,0.6865,-44.2131,15712719919,15858073,15738850516,30686.79,0.33,30687.31
