metric_name,scenario,user_count,bin_lower,bin_upper,count,frequency_pct
User_PnL,single_n32,32,-470210.8165,-466681.5853,1,0.1000
User_PnL,single_n32,32,-466681.5853,-463152.3542,0,0.0000
User_PnL,single_n32,32,-463152.3542,-459623.1231,0,0.0000
User_PnL,single_n32,32,-459623.1231,-456093.8920,1,0.1000
User_PnL,single_n32,32,-456093.8920,-452564.6608,3,0.3000
User_PnL,single_n32,32,-452564.6608,-449035.4297,0,0.0000
User_PnL,single_n32,32,-449035.4297,-445506.1986,1,0.1000
User_PnL,single_n32,32,-445506.1986,-441976.9675,0,0.0000
User_PnL,single_n32,32,-441976.9675,-438447.7363,4,0.4000
User_PnL,single_n32,32,-438447.7363,-434918.5052,7,0.7000
User_PnL,single_n32,32,-434918.5052,-431389.2741,4,0.4000
User_PnL,single_n32,32,-431389.2741,-427860.0430,2,0.2000
User_PnL,single_n32,32,-427860.0430,-424330.8118,5,0.5000
User_PnL,single_n32,32,-424330.8118,-420801.5807,13,1.3000
User_PnL,single_n32,32,-420801.5807,-417272.3496,12,1.2000
User_PnL,single_n32,32,-417272.3496,-413743.1185,13,1.3000
User_PnL,single_n32,32,-413743.1185,-410213.8873,17,1.7000
User_PnL,single_n32,32,-410213.8873,-406684.6562,19,1.9000
User_PnL,single_n32,32,-406684.6562,-403155.4251,23,2.3000
User_PnL,single_n32,32,-403155.4251,-399626.1940,34,3.4000
User_PnL,single_n32,32,-399626.1940,-396096.9628,36,3.6000
User_PnL,single_n32,32,-396096.9628,-392567.7317,25,2.5000
User_PnL,single_n32,32,-392567.7317,-389038.5006,52,5.2000
User_PnL,single_n32,32,-389038.5006,-385509.2695,43,4.3000
User_PnL,single_n32,32,-385509.2695,-381980.0383,46,4.6000
User_PnL,single_n32,32,-381980.0383,-378450.8072,41,4.1000
User_PnL,single_n32,32,-378450.8072,-374921.5761,62,6.2000
User_PnL,single_n32,32,-374921.5761,-371392.3450,60,6.0000
User_PnL,single_n32,32,-371392.3450,-367863.1138,45,4.5000
User_PnL,single_n32,32,-367863.1138,-364333.8827,63,6.3000
User_PnL,single_n32,32,-364333.8827,-360804.6516,48,4.8000
User_PnL,single_n32,32,-360804.6516,-357275.4205,41,4.1000
User_PnL,single_n32,32,-357275.4205,-353746.1893,39,3.9000
User_PnL,single_n32,32,-353746.1893,-350216.9582,32,3.2000
User_PnL,single_n32,32,-350216.9582,-346687.7271,40,4.0000
User_PnL,single_n32,32,-346687.7271,-343158.4960,34,3.4000
User_PnL,single_n32,32,-343158.4960,-339629.2648,19,1.9000
User_PnL,single_n32,32,-339629.2648,-336100.0337,25,2.5000
User_PnL,single_n32,32,-336100.0337,-332570.8026,15,1.5000
User_PnL,single_n32,32,-332570.8026,-329041.5715,16,1.6000
User_PnL,single_n32,32,-329041.5715,-325512.3403,15,1.5000
User_PnL,single_n32,32,-325512.3403,-321983.1092,10,1.0000
User_PnL,single_n32,32,-321983.1092,-318453.8781,14,1.4000
User_PnL,single_n32,32,-318453.8781,-314924.6469,6,0.6000
User_PnL,single_n32,32,-314924.6469,-311395.4158,4,0.4000
