seed,user_pnl,arb_profit,lp_profit_value,total_volume,lp_profit_per_1m_vol,arb_trade_count,intervention_rate,avg_spread_pct,max_spread_pct,rmse_price,impermanent_loss_pct,total_compute_units,avg_cu_per_swap,total_swaps,successful_swaps
100,-347258.1048,204591.3196,199425.7373,33275741.2492,5993.1268,1999,0.062767,3.398945,10.033954,0.023689,-3.015927,1009171582,31687.13,31848,31848
1000,-333877.0927,76535.8022,179670.3336,32559987.5648,5518.1327,1999,0.062606,3.331679,10.433388,0.023025,-2.944772,1011751936,31686.56,31930,31930
1001,-322671.8131,64001.3899,174732.6218,31960095.0604,5467.2122,1999,0.062512,3.253597,9.585846,0.022581,-2.878447,1013227087,31685.13,31978,31978
1002,-364077.0643,-494.5782,177179.9776,34146839.4352,5188.7665,1999,0.062702,3.470591,12.054567,0.024181,-3.099454,1010234455,31687.67,31881,31881
1003,-354607.9265,-79538.4087,163725.5272,33354782.3878,4908.6073,1999,0.062459,3.454796,10.355767,0.023803,-3.035006,1014112312,31686.06,32005,32005
1004,-413113.4718,206622.6235,216755.1208,36844116.8337,5883.0321,1999,0.062344,3.742754,12.869227,0.026180,-3.369046,1016047841,31688.12,32064,32064
1005,-365548.1096,116224.6099,193353.2823,34358928.1459,5627.4538,1998,0.062808,3.515180,11.890182,0.024323,-3.120367,1007989966,31686.84,31811,31811
1006,-415491.7956,122012.5131,207654.1149,37140885.0946,5590.9846,1999,0.062108,3.766172,12.603251,0.026140,-3.396629,1019926068,31688.50,32186,32186
1007,-389273.4191,195148.0502,211302.1640,36049942.4029,5861.3731,1999,0.062166,3.632110,10.698246,0.025208,-3.271475,1018968215,31688.28,32156,32156
1008,-347605.4498,293606.2754,211002.5308,33359312.5239,6325.1463,1999,0.062610,3.406278,10.991951,0.023754,-3.019559,1011708423,31687.18,31928,31928
1009,-355670.0585,-138234.9719,156601.3706,33429975.9547,4684.4596,1999,0.062400,3.453230,10.904586,0.023778,-3.041212,1015091225,31686.94,32035,32035
101,-348432.3827,278340.0642,211009.9523,33773049.9173,6247.8797,1999,0.062639,3.422380,10.539171,0.023677,-3.047996,1011254879,31687.87,31913,31913
1010,-376536.0775,294084.5663,218524.4570,34846740.7408,6271.0157,1999,0.062430,3.582408,11.280405,0.024872,-3.173849,1014632253,31687.45,32020,32020
1011,-373922.9727,1325.3444,182450.0216,35170400.9911,5187.6014,1999,0.062139,3.508924,11.482141,0.024501,-3.186665,1019410810,31688.24,32170,32170
1012,-419463.3409,210972.8330,221361.2146,37729777.9485,5867.0161,1999,0.062735,3.798424,11.061271,0.026299,-3.436304,1009734105,31688.87,31864,31864
1013,-377421.1543,157065.1531,200542.0294,34806007.9680,5761.7073,1999,0.062104,3.557704,12.971112,0.024821,-3.168883,1019951922,31687.33,32188,32188
1014,-367674.5918,137856.4456,195768.3020,34221117.6236,5720.6870,1999,0.062627,3.507712,10.762687,0.024435,-3.119053,1011438407,31687.66,31919,31919
1015,-398878.2693,327442.4188,231332.8364,36658220.4118,6310.5310,1998,0.062516,3.665575,12.663877,0.025582,-3.331549,1012776060,31688.86,31960,31960
1016,-346644.0504,209490.8245,200739.6825,33540416.9012,5985.0086,1999,0.061988,3.398814,11.151654,0.023561,-3.024326,1021814662,31686.14,32248,32248
1017,-409397.8793,346504.9496,234422.4680,36684706.5385,6390.1961,1999,0.062967,3.750136,11.409341,0.026154,-3.359101,1006002992,31688.13,31747,31747
1018,-334082.6608,193127.8040,192513.4477,32202781.3535,5978.1621,1999,0.062381,3.353667,11.035297,0.023183,-2.917148,1015370518,31685.77,32045,32045
1019,-383266.9138,42040.9592,190613.1802,35751802.7962,5331.5683,1999,0.062641,3.601831,10.637317,0.024901,-3.244612,1011225741,31687.95,31912,31912
102,-322377.8972,228123.9090,194816.8304,31811988.8480,6124.0066,1999,0.062559,3.285980,11.113296,0.022720,-2.866678,1012467059,31685.14,31954,31954
1020,-349617.4877,191093.8997,202409.2880,34275991.0612,5905.2789,1999,0.062848,3.385834,10.448543,0.023638,-3.085363,1007895978,31687.87,31807,31807
1021,-337936.8911,56374.5336,179191.5956,32997255.5280,5430.5000,1999,0.062623,3.344593,9.404345,0.023137,-2.980654,1011478333,31686.93,31921,31921
1022,-362655.4831,68455.5426,188639.4083,34681109.9763,5439.2552,1998,0.062553,3.472968,9.760797,0.024029,-3.134188,1012139973,31687.80,31941,31941
1023,-328767.9128,223965.4369,196226.6493,32130350.9783,6107.2053,1999,0.062365,3.290755,10.356228,0.022881,-2.904849,1015598315,31684.97,32053,32053
1024,-381462.1943,155083.1056,204736.6707,35718302.5367,5731.9821,1999,0.062688,3.568228,12.890968,0.024850,-3.237490,1010481567,31688.46,31888,31888
1025,-388272.5153,183095.4423,210403.8179,36180066.4839,5815.4624,1999,0.062191,3.598900,11.025914,0.025181,-3.278509,1018563533,31688.50,32143,32143
