seed,user_pnl,arb_profit,lp_profit_value,total_volume,lp_profit_per_1m_vol,arb_trade_count,intervention_rate,avg_spread_pct,max_spread_pct,rmse_price,impermanent_loss_pct,total_compute_units,avg_cu_per_swap,total_swaps,successful_swaps
100,-738535.0122,0.0000,738535.0122,183570706.6163,4023.1637,0,0.000000,38.894052,86.122053,0.296460,-11.539610,3933965522,30686.64,128198,128198
1000,-703241.0882,0.0000,703241.0882,173621047.3191,4050.4369,0,0.000000,34.759773,79.719247,0.246315,-10.988142,3917606581,30686.37,127666,127666
1001,-705279.1641,0.0000,705279.1641,175793266.8208,4011.9805,0,0.000000,33.713948,90.264251,0.245999,-11.019987,3936288547,30686.81,128273,128273
1002,-739392.8386,0.0000,739392.8386,183391466.0665,4031.7734,0,0.000000,39.154619,94.648722,0.313229,-11.553013,3928883526,30686.97,128031,128031
1003,-711350.7335,0.0000,711350.7335,178084578.1305,3994.4544,0,0.000000,36.749335,82.374932,0.246338,-11.114855,3928759097,30686.96,128027,128027
1004,-745001.4392,0.0000,745001.4392,186818854.3696,3987.8279,0,0.000000,39.425463,84.184197,0.300573,-11.640647,3934412296,30687.01,128211,128211
1005,-721194.5233,0.0000,721194.5233,180053948.5327,4005.4358,0,0.000000,37.792527,99.782301,0.256383,-11.268664,3922757491,30686.82,127832,127832
1006,-722371.5406,0.0000,722371.5406,182631868.0173,3955.3422,0,0.000000,35.365559,77.798766,0.318124,-11.287055,3938854682,30686.95,128356,128356
1007,-741458.3621,0.0000,741458.3621,185358181.9430,4000.1383,0,0.000000,36.921502,74.081722,0.261938,-11.585287,3930970361,30687.21,128098,128098
1008,-721420.1773,0.0000,721420.1773,179984733.4695,4008.2298,0,0.000000,37.700089,93.291494,0.236923,-11.272190,3929411940,30687.26,128047,128047
1009,-726802.2974,0.0000,726802.2974,180705749.2346,4022.0209,0,0.000000,36.973004,94.508621,0.258078,-11.356286,3939588273,30687.17,128379,128379
101,-719914.6861,0.0000,719914.6861,180429736.6056,3990.0002,0,0.000000,38.105542,88.604820,0.275321,-11.248667,3913736577,30686.83,127538,127538
1010,-721533.9007,0.0000,721533.9007,180154139.7255,4005.0920,0,0.000000,36.219716,84.415286,0.279667,-11.273967,3932226535,30686.72,128141,128141
1011,-710215.1297,0.0000,710215.1297,177617381.6662,3998.5677,0,0.000000,37.230668,85.416414,0.250687,-11.097111,3941470033,30686.77,128442,128442
1012,-715514.5720,0.0000,715514.5720,179918747.2504,3976.8761,0,0.000000,37.350783,91.891294,0.296908,-11.179915,3923521630,30687.04,127856,127856
1013,-731802.1188,0.0000,731802.1188,182310819.6194,4014.0356,0,0.000000,35.485194,82.626170,0.236008,-11.434408,3930844943,30687.43,128093,128093
1014,-757056.5532,0.0000,757056.5532,189437496.6539,3996.3395,0,0.000000,36.924337,88.321515,0.287780,-11.829009,3920436278,30688.11,127751,127751
1015,-725140.1838,0.0000,725140.1838,179344536.0877,4043.2800,0,0.000000,40.198344,91.765473,0.285009,-11.330315,3922548947,30686.63,127826,127826
1016,-734327.6574,0.0000,734327.6574,183216972.0169,4007.9674,0,0.000000,38.889847,126.001380,0.262708,-11.473870,3943925659,30687.01,128521,128521
1017,-716389.6183,0.0000,716389.6183,179193747.3194,3997.8494,0,0.000000,37.791851,82.490054,0.295734,-11.193588,3918864362,30686.85,127705,127705
1018,-730537.9111,0.0000,730537.9111,179904861.8065,4060.6902,0,0.000000,38.752762,95.431456,0.302066,-11.414655,3931223088,30687.03,128107,128107
1019,-714153.2447,0.0000,714153.2447,178305277.7683,4005.2277,0,0.000000,36.915151,86.985037,0.259211,-11.158644,3938404774,30687.04,128341,128341
102,-712407.5998,0.0000,712407.5998,175415328.7309,4061.2619,0,0.000000,37.586583,97.325972,0.279332,-11.131369,3939431904,30686.43,128377,128377
1020,-754339.1310,0.0000,754339.1310,187414681.6564,4024.9735,0,0.000000,35.885139,94.680517,0.262579,-11.786549,3919243611,30687.90,127713,127713
1021,-692534.5411,0.0000,692534.5411,173893825.6532,3982.5137,0,0.000000,35.996061,83.505070,0.261839,-10.820852,3922831807,30686.92,127834,127834
